event_id,reference_size,mean_jaccard,median_jaccard,min_jaccard,max_jaccard,configs_ge_0_5,configs_ge_0_8,configs_with_match,robustness_class
evt_25,9,0.66666,1.0,0.0,1.0,3,3,4,high
evt_26,7,0.6571400000000001,1.0,0.0,1.0,3,3,4,high
evt_30,6,0.76666,1.0,0.0,1.0,4,4,4,high
evt_11,5,0.73562,1.0,0.0781,1.0,4,3,5,high
evt_0,3,0.73334,1.0,0.0,1.0,4,3,4,high
evt_15,3,0.86668,1.0,0.6667,1.0,5,3,5,high
evt_2,3,0.8,1.0,0.0,1.0,4,4,4,high
evt_28,3,0.73334,1.0,0.0,1.0,4,3,4,high
evt_14,7,0.65712,0.8571,0.0,1.0,4,3,4,high
evt_21,6,0.76666,0.8333,0.3333,1.0,4,3,5,high
evt_12,17,0.30018,0.2656,0.1765,0.5294,1,0,5,low
evt_4,4,0.35,0.0,0.0,1.0,2,1,2,low
evt_5,3,0.20937999999999998,0.0,0.0,1.0,1,1,2,low
evt_1,2,0.0,0.0,0.0,0.0,0,0,0,low
evt_10,2,0.2,0.0,0.0,1.0,1,1,1,low
evt_16,2,0.4,0.0,0.0,1.0,2,2,2,low
evt_18,2,0.2,0.0,0.0,1.0,1,1,1,low
evt_22,2,0.0,0.0,0.0,0.0,0,0,0,low
evt_23,2,0.0,0.0,0.0,0.0,0,0,0,low
evt_24,2,0.2,0.0,0.0,1.0,1,1,1,low
evt_27,2,0.2,0.0,0.0,1.0,1,1,1,low
evt_29,2,0.0,0.0,0.0,0.0,0,0,0,low
evt_31,2,0.0,0.0,0.0,0.0,0,0,0,low
evt_32,2,0.0,0.0,0.0,0.0,0,0,0,low
evt_33,2,0.2,0.0,0.0,1.0,1,1,1,low
evt_34,2,0.2,0.0,0.0,1.0,1,1,1,low
evt_6,2,0.00624,0.0,0.0,0.0312,0,0,1,low
evt_7,2,0.0,0.0,0.0,0.0,0,0,0,low
evt_8,2,0.00624,0.0,0.0,0.0312,0,0,1,low
evt_9,2,0.2,0.0,0.0,1.0,1,1,1,low
evt_3,3,0.66668,0.6667,0.0,1.0,4,2,4,moderate
evt_17,7,0.54934,0.5714,0.2857,1.0,3,1,5,moderate
evt_19,34,0.5239,0.5294,0.1765,1.0,3,1,5,moderate
evt_20,14,0.513,0.5,0.1429,1.0,3,1,5,moderate
evt_13,4,0.45,0.5,0.0,1.0,3,1,3,moderate
