reference_event,reference_config,comparison_config,best_matching_cluster,reference_size,overlap_count,jaccard_similarity,precision_of_match,recall_of_match
evt_0,C5,C1,,3,0,0.0,0.0,0.0
evt_0,C5,C2,1.0,3,2,0.6667,1.0,0.6667
evt_0,C5,C3,1.0,3,3,1.0,1.0,1.0
evt_0,C5,C4,0.0,3,3,1.0,1.0,1.0
evt_0,C5,C5,0.0,3,3,1.0,1.0,1.0
evt_0,C5,C6,0.0,3,3,1.0,1.0,1.0
evt_1,C5,C1,,2,0,0.0,0.0,0.0
evt_1,C5,C2,,2,0,0.0,0.0,0.0
evt_1,C5,C3,,2,0,0.0,0.0,0.0
evt_1,C5,C4,,2,0,0.0,0.0,0.0
evt_1,C5,C5,1.0,2,2,1.0,1.0,1.0
evt_1,C5,C6,,2,0,0.0,0.0,0.0
evt_2,C5,C1,,3,0,0.0,0.0,0.0
evt_2,C5,C2,0.0,3,3,1.0,1.0,1.0
evt_2,C5,C3,0.0,3,3,1.0,1.0,1.0
evt_2,C5,C4,1.0,3,3,1.0,1.0,1.0
evt_2,C5,C5,2.0,3,3,1.0,1.0,1.0
evt_2,C5,C6,1.0,3,3,1.0,1.0,1.0
evt_3,C5,C1,0.0,3,2,0.6667,1.0,0.6667
evt_3,C5,C2,2.0,3,2,0.6667,1.0,0.6667
evt_3,C5,C3,,3,0,0.0,0.0,0.0
evt_3,C5,C4,2.0,3,3,1.0,1.0,1.0
evt_3,C5,C5,3.0,3,3,1.0,1.0,1.0
evt_3,C5,C6,2.0,3,3,1.0,1.0,1.0
evt_4,C5,C1,,4,0,0.0,0.0,0.0
evt_4,C5,C2,,4,0,0.0,0.0,0.0
evt_4,C5,C3,,4,0,0.0,0.0,0.0
evt_4,C5,C4,3.0,4,3,0.75,1.0,0.75
evt_4,C5,C5,4.0,4,4,1.0,1.0,1.0
evt_4,C5,C6,3.0,4,4,1.0,1.0,1.0
evt_5,C5,C1,,3,0,0.0,0.0,0.0
evt_5,C5,C2,,3,0,0.0,0.0,0.0
evt_5,C5,C3,,3,0,0.0,0.0,0.0
evt_5,C5,C4,4.0,3,3,1.0,1.0,1.0
evt_5,C5,C5,5.0,3,3,1.0,1.0,1.0
evt_5,C5,C6,4.0,3,3,0.0469,0.0469,1.0
evt_6,C5,C1,,2,0,0.0,0.0,0.0
evt_6,C5,C2,,2,0,0.0,0.0,0.0
evt_6,C5,C3,,2,0,0.0,0.0,0.0
evt_6,C5,C4,,2,0,0.0,0.0,0.0
